isin,s_date,close,p_price,r_price,p_rate,r_rate,predict,correct,error
005945,2023-07-07,9120,9131,9120.0,0.12,0.0,0,1,0.12
005950,2023-07-07,25800,25796,25150.0,-0.02,-2.52,0,1,2.57
005960,2023-07-07,6450,6451,6700.0,0.02,3.88,0,0,3.72
005965,2023-07-07,27600,27610,27200.0,0.04,-1.45,0,1,1.51
006040,2023-07-07,36050,36033,37650.0,-0.05,4.44,0,0,4.29
006060,2023-07-07,3740,3738,3690.0,-0.05,-1.34,0,1,1.3
006090,2023-07-07,8240,8254,8240.0,0.17,0.0,0,1,0.17
006110,2023-07-07,106800,106770,115000.0,-0.03,7.68,0,0,7.16
006120,2023-07-07,34400,34379,34050.0,-0.06,-1.02,0,1,0.97
006125,2023-07-07,27400,27401,27650.0,0.0,0.91,0,0,0.9
006200,2023-07-07,1255,1260,1237.0,0.4,-1.43,0,1,1.86
006220,2023-07-07,14590,14604,13850.0,0.1,-5.07,0,1,5.44
006260,2023-07-07,88200,88120,88300.0,-0.09,0.11,0,0,0.2
006280,2023-07-07,108800,108714,109000.0,-0.08,0.18,0,0,0.26
006340,2023-07-07,1151,1165,1177.0,1.22,2.26,0,0,1.02
006345,2023-07-07,2445,2466,2440.0,0.86,-0.2,0,1,1.07
006360,2023-07-07,13750,13730,14120.0,-0.15,2.69,0,0,2.76
006370,2023-07-07,14610,14609,14450.0,-0.01,-1.1,0,1,1.1
006380,2023-07-07,740,741,725.0,0.14,-2.03,0,1,2.21
006390,2023-07-07,17090,17081,17040.0,-0.05,-0.29,0,1,0.24
006400,2023-07-07,697000,696661,685000.0,-0.05,-1.72,0,1,1.7
006405,2023-07-07,324500,324334,320500.0,-0.05,-1.23,0,1,1.2
006490,2023-07-07,1396,1407,1414.0,0.79,1.29,0,0,0.5
006570,2023-07-07,3410,3414,3450.0,0.12,1.17,0,0,1.04
006650,2023-07-07,132500,132401,134100.0,-0.07,1.21,0,0,1.27
006660,2023-07-07,11310,11288,11390.0,-0.19,0.71,0,0,0.9
006740,2023-07-07,24850,24855,24700.0,0.02,-0.6,0,1,0.63
006800,2023-07-07,6950,6954,6900.0,0.06,-0.72,0,1,0.78
006805,2023-07-07,3945,3956,3925.0,0.28,-0.51,0,1,0.79
00680K,2023-07-07,3670,3677,3640.0,0.19,-0.82,0,1,1.02
006840,2023-07-07,19080,19093,19000.0,0.07,-0.42,0,1,0.49
006880,2023-07-07,10210,10218,10080.0,0.08,-1.27,0,1,1.37
006890,2023-07-07,15000,14982,14190.0,-0.12,-5.4,0,1,5.58
006980,2023-07-07,22000,21987,22400.0,-0.06,1.82,0,0,1.84
